"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"WL1",2022,2,3,2022-02-18,"green",2,0,"purple 22 alive",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,3,2022-02-18,"green",2,0,"purple 22 alive",2022-05-18,0,"1 orange not strep",89,0,TRUE
"WL1",2022,2,3,2022-02-18,"green",2,0,"purple 22 alive",2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,3.5,2022-02-18,"green",28,0,"purple 45 alive",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,3.5,2022-02-18,"green",28,0,"purple 45 alive",2022-04-27,1,NA,68,1,TRUE
"WL1",2022,2,3.5,2022-02-18,"green",28,0,"purple 45 alive",2022-05-18,0,"0",89,1,TRUE
"WL1",2022,2,3.5,2022-02-18,"green",28,0,"purple 45 alive",2022-07-01,0,NA,133,1,TRUE
"WL1",2022,2,4,2022-02-18,"green",10,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,4,2022-02-18,"green",10,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,4,2022-02-18,"green",10,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,4,2022-02-18,"green",10,0,NA,2022-07-01,1,"animal disturbance",133,1,TRUE
"WL1",2022,2,4.5,2022-02-18,"green",4,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,4.5,2022-02-18,"green",4,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,4.5,2022-02-18,"green",4,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,4.5,2022-02-18,"green",4,0,NA,2022-07-01,0,"animal disturbance",133,0,TRUE
"WL1",2022,2,5,2022-02-18,"green",5,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,5,2022-02-18,"green",5,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,5,2022-02-18,"green",5,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,5,2022-02-18,"green",5,0,NA,2022-07-01,1,NA,133,1,TRUE
"WL1",2022,2,5.5,2022-02-18,"green",7,0,"note",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,5.5,2022-02-18,"green",7,0,"note",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,5.5,2022-02-18,"green",7,0,"note",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,5.5,2022-02-18,"green",7,0,"note",2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,6,2022-02-18,"green",10,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,6,2022-02-18,"green",10,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,6,2022-02-18,"green",10,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,6,2022-02-18,"green",10,0,NA,2022-07-01,4,NA,133,4,TRUE
"WL1",2022,2,6.5,2022-02-18,"green",15,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,6.5,2022-02-18,"green",15,0,NA,2022-04-27,0,"added 2 green",68,0,TRUE
"WL1",2022,2,6.5,2022-02-18,"green",15,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,6.5,2022-02-18,"green",15,0,NA,2022-07-01,3,"extra orange",133,3,TRUE
"WL1",2022,2,7,2022-02-18,"green",2,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,7,2022-02-18,"green",2,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,7,2022-02-18,"green",2,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,7,2022-02-18,"green",2,0,NA,2022-07-01,0,"extra orange",133,0,TRUE
"WL1",2022,2,7.5,2022-02-18,"green",2,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,7.5,2022-02-18,"green",2,0,NA,2022-04-27,0,"green not blue",68,0,TRUE
"WL1",2022,2,7.5,2022-02-18,"green",2,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,7.5,2022-02-18,"green",2,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,8,2022-02-18,"green",2,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,8,2022-02-18,"green",2,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,8,2022-02-18,"green",2,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,8,2022-02-18,"green",2,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,8.5,2022-02-18,"green",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,8.5,2022-02-18,"green",1,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,8.5,2022-02-18,"green",1,0,NA,2022-05-18,0,"green herbiv",89,0,TRUE
"WL1",2022,2,8.5,2022-02-18,"green",1,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,9,2022-02-18,"green",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,9,2022-02-18,"green",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,9,2022-02-18,"green",0,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,2,9,2022-02-18,"green",0,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,2,9.5,2022-02-18,"green",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,2,9.5,2022-02-18,"green",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,2,9.5,2022-02-18,"green",0,0,NA,2022-05-18,0,"red dying",89,0,TRUE
"WL1",2022,2,9.5,2022-02-18,"green",0,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,3,0,2022-02-18,"green",5,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,0,2022-02-18,"green",5,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,3,0,2022-02-18,"green",5,0,NA,2022-05-18,1,"0",89,1,TRUE
"WL1",2022,3,0,2022-02-18,"green",5,0,NA,2022-07-01,0,NA,133,1,TRUE
"WL1",2022,3,0.5,2022-02-18,"green",23,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,0.5,2022-02-18,"green",23,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,3,0.5,2022-02-18,"green",23,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,3,0.5,2022-02-18,"green",23,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,3,1,2022-02-18,"green",41,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,3,1,2022-02-18,"green",41,0,NA,2022-04-27,1,"funky shiny plants - STTO?",68,1,TRUE
"WL1",2022,3,1,2022-02-18,"green",41,0,NA,2022-05-18,0,"1 orange not strep",89,1,TRUE
"WL1",2022,3,1,2022-02-18,"green",41,0,NA,2022-07-01,0,NA,133,1,TRUE
