"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Buds","Year_marked","Notes","Stem_diam_mm_UFA","plant_id","original_census_year"
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","8.5",NA,NA,NA,"orange",NA,NA,"blue",48,50,18,"1.08",11.4,NA,"B",0,0,NA,1,1,NA,"Y",NA,NA,NA,NA,1.08,"TM2_lower_8.5_blue_48",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","10.0",NA,NA,NA,"orange",NA,NA,"blue",65,32,7,"1.3",13.5,NA,"P",0,2,34,1,1,NA,"Y",NA,NA,NA,NA,1.3,"TM2_lower_10.0_blue_65",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","10.5",NA,NA,NA,"orange",NA,NA,"blue",605,41,11,"1.03",7,NA,"P",0,1,41,1,1,NA,"Y",NA,NA,NA,NA,1.03,"TM2_lower_10.5_blue_605",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","11.0",NA,NA,NA,NA,NA,NA,"yellow",108,15,16,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_11.0_yellow_108",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","13.0",NA,NA,NA,"orange",NA,NA,"blue",78,41,1,"1.46",25,NA,"P",0,3,50,1,1,NA,"Y",NA,NA,NA,NA,1.46,"TM2_lower_13.0_blue_78",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","13.5",NA,NA,NA,NA,NA,NA,"yellow",64,39,5,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_13.5_yellow_64",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.0",NA,NA,NA,"orange",NA,NA,"blue",609,20,1,"2.08",34,NA,"P",0,5,55,1,1,NA,"Y",NA,NA,NA,NA,2.08,"TM2_lower_14.0_blue_609",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.5",NA,NA,NA,NA,NA,NA,"yellow",62,9,20,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_14.5_yellow_62",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.5",NA,NA,NA,NA,NA,NA,"yellow",84,40,12,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TM2_lower_14.5_yellow_84",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.5",NA,NA,NA,"orange",NA,NA,"blue",769,23,10,"1.12",15,NA,"P",0,1,50,1,1,NA,"N",NA,NA,NA,NA,1.12,"TM2_lower_14.5_blue_769",2020
NA,NA,2020,2020-05-31,"JG, JS","TM2","lower","14.5",NA,NA,NA,"orange",NA,NA,"blue",85,30,0,"1.85",33,NA,"P",0,3,67,1,1,NA,"N",NA,NA,NA,NA,1.85,"TM2_lower_14.5_blue_85",2020
