"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Leaf_thickness_mm","Buds","Year_marked","Num_leaves","Notes","Stem_diam_mm_UFA"
NA,NA,2016,NA,NA,"TM2","lower","14.5","n",NA,NA,NA,NA,NA,NA,NA,31,8,"1.05","15.5",1,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.05
NA,NA,2016,NA,NA,"TM2","lower","14.5","n",NA,NA,NA,NA,NA,NA,NA,37,9,"0.96","3.0",1,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","14.5","n",NA,NA,NA,NA,NA,NA,NA,48,14,"0.8","3.5",0.5,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","14.5","n",NA,NA,NA,NA,NA,NA,NA,50,14.5,"1.71","4.5",0.9,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.71
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,0,0,"1.37","17.0",1.5,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,"broken stem",1.37
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,9,16,"1.2","9.5",1.1,"B",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.2
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,17,18,"1.08","16.5",1.5,"B",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.08
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,19,19,"0.56","3.5",1,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,22,20,"0.49","3.0",0.6,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,33,10,"0.69","4.5",0.3,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,33.5,9,"1.56","15.5",2.5,"P","0.0","2.0",2.4,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.56
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,42,4,"0.4","5.0",0.5,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,43,7,"0.61","4.5",7,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,37,14,"0.42","3.5",0.5,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","15","n",NA,NA,NA,NA,NA,NA,NA,36,16,"1.21","11.0",1.8,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.21
